,,,,,,,,Edition : 12/01/2017
Activité et prix des vins sans IG et des vins IGP Blancs,,,,,,,,
,,Vin sans IG,,,Vin IGP,,,Campagnes
Mois,semaine dans la campagne,en milliers d'hl,en euros/hl,en euros/°hl,en milliers d'hl,en euros/hl,en euros/°hl,
,29,35,63.15,5.32,81,85.26,6.73,
,30,19,52.53,4.49,49,81.19,6.48,
Mar 2010,31,21,48.60,4.19,60,87.49,7.03,
,32,16,48.88,4.32,57,81.25,6.52,
,33,39,62.34,5.32,47,77.15,6.36,
,34,17,47.82,4.11,27,80.72,6.48,
,35,7,62.85,5.41,25,87.78,6.84,
Apr 2010,36,2,61.30,5.21,20,78.46,6.24,
,37,160,21.37,2.03,15,81.11,6.41,
,38,16,41.38,3.73,11,80.32,6.39,
,39,4,60.79,4.93,12,87.30,6.80,
May 2010,40,6,61.86,5.06,22,76.14,6.38,
